简直GPT训练师，人工智能训练师，AI训练师,经验不限,本科,100-150元/时,,,朋兀,社交网络与媒体,0-20人,杭州·拱墅区·德胜,"深度学习,强化学习,自然语言处理算法,分布式训练,算法工程化经验"
ai产品经理,1-3年,本科,10-15K,,,蓝选数实,不需要融资,20-99人,杭州·拱墅区·万达广场,"ChatGPT,Midjourney,AIGC,Stable Diffusion,Runway,语义类AI,视觉类AI"
AI法律研究员,1-3年,本科,6-7K,,,橙遇科技,未融资,20-99人,杭州·滨江区·长河,"互联网,公司,公司法律,非诉讼业务"
人工智能课程开发实习生,1-3年,本科,160-180元/天,,,一蓦,未融资,20-99人,杭州·上城区·凯旋,"机器学习算法/工程化经验,深度学习经验,英文读写能力良好"
ai产品经理,1-3年,本科,15-20K,,,丰沃物联,不需要融资,20-99人,杭州·余杭区·五常,"LLM 技术,逻辑思维,人工智能,AI 技术"
人工智能开发负责人AI Team Lead,1-3年,本科,50-70K,,,辉瑞制药,D轮及以上,1000-9999人,杭州·钱塘区·河庄,"机器学习算法/工程化经验,AI"
AI工程师实习生,1-3年,本科,3-8K,,,趣看,不需要融资,20-99人,杭州·西湖区·文一路,"计算机相关专业,机器学习算法/工程化经验,深度学习经验"
ai修图师（远程）,1-3年,本科,4-5K,,,水母智能,A轮,20-99人,杭州·西湖区·三墩,"漫画主笔助理,漫画后期,自有品牌,兼职,远程办公,CSP,擅长手绘,熟练使用数位板,接受居家办公,30-35元/格"
人工智能训练师 早九晚六/双休,1-3年,本科,8-9K,,,万物云佛山代表处,未融资,1000-9999人,杭州·余杭区·仓前,"全职工作,标注数据分析,标注方法优化,数据标注,数据分析能力强"
AI绘画师,1-3年,本科,6-10K,,,桠未文化,未融资,20-99人,杭州·萧山区·宁围,"全职,企业/自有品牌,宣传海报类插画,不接受居家办公"
ai负责人,1-3年,本科,20-23K,,,飞鸟有礼,天使轮,0-20人,杭州·余杭区·五常,"AI产品,AI社交平台,C端产品,B端产品"
AI算法合伙人,1-3年,本科,40-70K·13薪,,,元乙智能,未融资,0-20人,杭州·钱塘区·下沙,"数字人,人工智能,算法基础"
AI产品经理,1-3年,本科,25-45K,,,某大型移动互联网公司,A轮,100-499人,杭州,"语义类AI,机器学习类AI,语音类AI,AI机器人"
零售AI人工智能,1-3年,本科,50-80K,,,算力,不需要融资,20-99人,杭州·临平区·临平,"GPT,多模态,AI人工智能,零售,私域"
AI模型训练师,1-3年,本科,6-8K,,,北京外企德科人力...,不需要融资,1000-9999人,杭州·余杭区·五常,"全职工作,标注数据分析,标注方法优化,数据标注,文本标注,语音标注,视频标注,审核和质检"
产品负责人（AI）,1-3年,本科,150-200K·15薪,,,某知名互联网上市公司,已上市,1000-9999人,杭州,"C端产品,机器学习类AI,视觉类AI,语音类AI,AI机器人,语义类AI,生成式AI,AIGC"
战斗策划（AI方向）,1-3年,本科,23-45K,,,FunPlus,B轮,1000-9999人,杭州·滨江区·西兴,"战斗系统设计,平衡制定,技能系统设计,RPG游戏,Unity,UE4,AI行为框架,NPC AI行为"
ai训练师,1-3年,本科,11-20K,,,软通动力,已上市,10000人以上,杭州·西湖区·西溪,"语音/图像识别,Python,Shell,标注"
支付宝APP-人工智能产品专家,1-3年,本科,30-55K·16薪,,,蚂蚁集团,D轮及以上,10000人以上,杭州·西湖区·西湖,"C端产品,智能创作,智能记忆"
AI产品经理,1-3年,本科,13-18K·16薪,,,杭州乐活派科技,不需要融资,100-499人,杭州·余杭区·仓前,
AI绘画师,1-3年,本科,10-15K·13薪,,,谋事,A轮,500-999人,杭州·临平区·乔司,"不接受居家办公,全职"
ai高级产品经理,1-3年,本科,50-70K·16薪,,,某500强上市公司,已上市,10000人以上,杭州,"语义类AI,机器学习类AI"
大数据云计算人工智能开发,1-3年,本科,12-18K,,,天天数链,天使轮,100-499人,杭州·滨江区·长河,"C++,Python,大数据开发经验"
Ai训练师,1-3年,本科,12-24K·13薪,,,数里行间,A轮,20-99人,杭州·滨江区·浦沿,"机器学习类AI,FAQ知识库,人机交互,AI训练师"
ai数据标注,1年以内,大专,5-40元/时,,,杭州绿中游,未融资,20-99人,杭州·余杭区·西溪,"兼职工作,标注结果整理,数据标注,标注数据分析,图片标注,文本标注,语音标注,描点标注,分类标注,数据分析能力强,接受居家办公,语言理解能力强,耐心好"
ai产品经理,1年以内,大专,10-15K,,,牛麦科技,不需要融资,100-499人,杭州·钱塘区·下沙,"C端产品,B端产品,语义类AI,AI机器人,机器学习类AI,视觉类AI,语音类AI"
AI开发工程师,1年以内,大专,20-40K,,,华为企业通信,未融资,10000人以上,杭州·滨江区·长河,"Python,C/C++,TensorFlow/PyTorch"
【算法平台】AI工程架构专家,1年以内,大专,30-60K·16薪,,,得物App,B轮,1000-9999人,杭州·西湖区·黄龙,"机器学习,图像算法,算法工程化经验,模型加速/性能优化,Python"
AI人工智能开发工程师,1年以内,大专,20-40K,,,盐泽服饰,不需要融资,500-999人,杭州·拱墅区·东新,"机器学习,深度学习,搜索算法,Python"
AI在线服务研发,1年以内,大专,40-70K·15薪,,,北京字节跳动,不需要融资,10000人以上,杭州·余杭区·仓前,"Java,Kafka,Spark,Hive,Hadoop,大数据经验,架构设计经验"
ai产品经理,1年以内,大专,25-35K·15薪,,,某大型移动互联网公司,A轮,100-499人,杭州,"B端产品,智能营销,推荐算法,决策ai"
AI产品经理,1年以内,大专,20-30K,,,光年数据,天使轮,20-99人,杭州·西湖区·西溪,"B端产品,SaaS,LangChain,assistant,RPA,机器学习,商业洞察,数据分析"
AI训练师,1年以内,大专,4-6K,,,孚嘉科技,不需要融资,100-499人,杭州·余杭区·仓前,"全职工作,标注数据分析,标注方法优化,标注结果抽查,不接受居家办公,文本标注,分类标注,接受加班"
人工智能实习生,1年以内,大专,3-4K,,,杭州理橙科技有限公司,未融资,20-99人,杭州·余杭区·仓前,"机器学习,图像算法,自然语言处理算法,多模态算法,Python,C/C++,算法工程化经验"
ai视觉算法工程师,1年以内,大专,15-30K,,,杭州甄识科技有限公司,智能硬件,0-20人,杭州·拱墅区·文一路,"目标检测,图像分类,深度神经网络"
人工智能产品经理,1年以内,大专,20-21K,,,浙江大华,已上市,10000人以上,杭州·滨江区·浦沿,"产品规划,产品运营,人工智能产品,智能硬件产品,TO B,TO G"
人工智能AI,1年以内,大专,8-9K,,,广亩城市,不需要融资,20-99人,杭州·西湖区·古荡,"深度学习算法,人工智能,视觉图像算法"
AI系统测试工程师,1年以内,大专,16-21K·13薪,,,轻象科技,A轮,20-99人,杭州·余杭区·五常,"功能测试,性能测试,自动化测试,Python,计算机相关专业,测试工作经验,软件开发经验,人工智能,测试和交付,开发转测试"
电商AI美工师,1年以内,大专,10-15K,,,网红猫,天使轮,20-99人,杭州·拱墅区·三墩,"AI,AIGC,AI平面设计"
AI人工智能产品经理,1年以内,大专,25-50K,,,卓尚服饰,不需要融资,1000-9999人,杭州·钱塘区·金桥街,"C端产品,数据产品经理"
AI实习生,1年以内,大专,200-250元/天,,,谐云,B轮,100-499人,杭州,"机器学习,大模型算法,推荐算法,搜索算法,数据挖掘,Golang,Java,并行计算,算法工程化经验,优秀开源项目经历,参加算法相关竞赛/获奖"
人工智能产品运营专家-APP（头部大厂）,1年以内,大专,50-80K·16薪,,,某大型互联网公司,B轮,10000人以上,杭州,"平台类,社区类,大模型,人工智能"
AI算法工程师（aigc),1年以内,大专,28-35K·15薪,,,某大型移动互联网公司,C轮,100-499人,杭州,"TensorFlow/PyTorch,GAN,Diffusion"
ai产品经理,1年以内,大专,20-23K·14薪,,,整数智能,A轮,20-99人,杭州·萧山区·奥体中心,B端产品
AI数据采集,1年以内,大专,5-6K,,,武汉佰钧成技术,不需要融资,1000-9999人,杭州,"项目管理意识,视频剪辑,数据采集"
ai设计师,1年以内,大专,10-14K,,,杭州及时沟通,不需要融资,20-99人,杭州·拱墅区·运河广场,"MG动画,手绘动画,3D动画,AI,C4D,PR,不接受居家办公"
计算机视觉、机器学习、人工智能相关的职位,1年以内,大专,500-15000元/月,,,杭州寰亚领英科技,咨询,0-20人,杭州·西湖区·北山,"Python,TensorFlow/PyTorch,OpenCV,图像识别经验,计算机视觉,机器学习"
AI产品经理,1年以内,大专,20-40K·14薪,,,遥望科技,已上市,1000-9999人,杭州·余杭区·仓前,"语义类AI,机器学习类AI,B端产品"
ai训练师,1年以内,大专,10-15K·14薪,,,驰必准,不需要融资,20-99人,杭州·萧山区·钱江世纪城,"文字创作,人机对话相关经验,消费品赛道"
AI电商运营经理,1年以内,大专,8-12K·13薪,,,杭州梦想无限科技,未融资,0-20人,杭州·上城区·望江,"AI电商,AI技术,AI直播,电商运营,营销运营,直播产品,用户增长,项目管理"
人工智能处理器驱动开发工程师,1年以内,大专,25-50K,,,登临科技,B轮,100-499人,杭州·滨江区·长河,"C/C++,opencl,驱动开发"
