兼职-AI数据标注,经验不限,学历不限,15-25元/时,,,河北鼎联科技有限公司,大数据,20-99人,大连·甘井子区·七贤岭,"兼职工作,数据标注,图片标注,标框标注,接受居家办公"
游戏美工,1-3年,本科,4-9K,,,大连小螺丝,未融资,20-99人,大连·金州区·开发区,"PhotoShop,视觉设计,游戏主美,交互体验设计,游戏场景设计"
AI标注教研员（线上办公+双休+大厂）,1-3年,本科,8-9K,,,上海思芮,不需要融资,1000-9999人,大连·甘井子区·七贤岭,"全职,英语,教师资格证"
数据标注项目组长,1-3年,本科,4-6K,,,大连东方慧发声科技,计算机软件,0-20人,大连·金州区·开发区,"全职工作,标注方法优化,标注结果抽查,标注结果整理,区域标注,描点标注"
智能家居施工员,1-3年,本科,4-8K,,,电易捷,新零售,0-20人,大连·中山区·二七,"弱电工程,安防监控,人工智能,智能硬件,实施工程师/顾问,项目验收,操作系统安装调试,通信工程"
动画玛雅建模讲师,1-3年,本科,6-11K,,,禾谷传媒,不需要融资,20-99人,大连·甘井子区·辛寨子,"3D动画,MAYA,3ds MAX,AI"
【兼职】老照片修复设计师PS设计-不坐班,1-3年,本科,3000-15000元/月,,,极星文化,未融资,20-99人,大连,"商业修图,证件照,人物写真,修图工作室,摄影工作室,影楼,AI,LR,PS,接受居家办公,老照片修复,修复老照片"
乐高机器人老师,1-3年,本科,4-8K,,,创之巅峰,不需要融资,20-99人,大连·甘井子区·万达,"线下教育,小班教学（3-25人）,学前儿童/小学生,坐班"
大数据开发实习生,1-3年,本科,120-150元/天,,,埃尔沃思数字科技,不需要融资,100-499人,大连·沙河口区·软件园,"Scala,Spark,Flink"
AI工程师(机器学习/数据科学),1-3年,本科,23-30K,,,某大型计算机软件公司,计算机软件,100-499人,大连,"容器技术,网络爬虫技术,Java"
数据标注专员,1-3年,本科,3-4K,,,大连栖恩文化传媒,未融资,0-20人,大连·金州区·开发区,"全职工作,兼职工作,数据标注,图片标注,文本标注,语音标注,区域标注,描点标注,标框标注"
餐饮策划经理,1-3年,本科,5-10K,,,不土兄弟,广告/公关/会展,0-20人,大连·西岗区·民权,"线上,线下,有策划经验,4A广告公司经验,数据分析能力"
计算机视觉算法工程师,1-3年,本科,17-25K·13薪,,,某计算机服务公司,计算机服务,0-20人,大连,"Python,计算机相关专业,深度学习"
工业物联网产品经理,1-3年,本科,8-13K·13薪,,,中能智控,未融资,20-99人,大连,物联网
AI设计师,1-3年,本科,8-10K,,,亚洲渔港股份有限公司,B轮,500-999人,大连·西岗区·香炉礁,"视觉设计,原型设计"
语音数据标注/AI训练师,1-3年,本科,4-5K,,,甘井子区泡崖街道...,不需要融资,0-20人,大连·甘井子区·华南,"全职工作,数据标注,语音标注,区域标注,分类标注,数据分析能力强,专职语音标注不低于一年半"
人工智能领域智能算法技术专家,1-3年,本科,100-150K,,,某大型石油公司,石油/石化,500-999人,大连,Python
少儿人工智能课程讲师,1-3年,本科,3-5K,,,芙拉尔琦智能科技,未融资,0-20人,大连·中山区·人民路,"线上教育,线下教育,学前儿童/小学生,特长兴趣,课程研发经验,有教育工作经验,教育专业背景,人工智能,美术,口才/播音主持"
代码审核工程师,1-3年,本科,7-11K,,,玖墨,互联网,20-99人,大连·甘井子区·七贤岭,"Python,Golang,C++,Django,Tornado,MySQL,Hadoop,爬虫经验"
实习生,1-3年,本科,20-100元/天,,,简洁文化,未融资,0-20人,大连·西岗区·香炉礁,PPT，AI，自媒体，活动策划
联合创始人,1-3年,本科,11-12K,,,蒂姆职业装,天使轮,100-499人,大连·中山区·二七,"人工智能,金融,政府,资金端,投资者关系,101-300人,有政府资源,基金从业资格证,法律从业资格证,国家专利代理人资格证书"
应用产品开发部经理,1-3年,本科,6-11K,,,东锐软件,天使轮,0-20人,大连·西岗区·唐山街,C#
机器视觉工程师助理,1-3年,本科,6-10K·13薪,,,耐视科技,天使轮,20-99人,大连·甘井子区·高新园区,"C/C++,OCR识别经验,机器人,QT,人工智能,地图导航,视觉图像算法,计算机相关专业,图像识别经验,TensorFlow"
游戏layout视觉还原师,1-3年,本科,10-11K,,,腾讯互娱,不需要融资,10000人以上,大连·甘井子区·高新园区,"手机游戏,平面设计,切图和标注,U3D,UE4,PS,写实,半写实"
短视频编辑,1-3年,本科,5-8K,,,观潮信息科技,电子商务,0-20人,大连·甘井子区·周水子,"短视频,电商视频"
图像识别,1-3年,本科,10-11K,,,腾联网络,天使轮,20-99人,大连·金州区·开发区,"数据分析,算法,人工智能"
大连软件实施-直招，上市公司 (MJ000208),1-3年,本科,6-8K·13薪,,,博思软件,已上市,1000-9999人,大连·中山区·友好广场,"软件实施经验,财务相关专业,熟练掌握SQL语句,G端服务经验"
智能家居项目经理,1-3年,大专,6-7K,,,旭弘视讯,不需要融资,0-20人,大连·庄河市·城关,"人工智能,智能硬件,需求分析评估"
平面设计,1-3年,大专,3-5K,,,广博图文社,广告/公关/会展,0-20人,大连·金州区·中长,"CDR,不接受居家办公,PS,广告/设计公司,海报传单设计,AI,人工智能,画册设计,平面设计,广告设计"
外勤助理,1-3年,大专,1-2K,,,宏轩财税,财务/审计/税务,0-20人,大连·甘井子区·华南,"制造业,电商,金融,生活服务,人工智能,电信通讯,税务筹划,企业服务"
运营专员（阿里国际站、谷歌seo优化）,1-3年,大专,5-8K,,,大连荣程机械有限公司,未融资,20-99人,大连·金州区·开发区,"SEO/SEM经验（有案例）,海外平台信息流推广优化经验,英文网站SEO/SEM经验（有案例）,熟悉HTML"
证券/期货研究,1-3年,大专,8-13K,,,文华财经,不需要融资,100-499人,大连·沙河口区·软件园,"期货研究,股票研究"
数据分析工程师,1-3年,大专,20-40K,,,某知名非盈利机构公司,非盈利机构,1000-9999人,大连,电池数据分析
ai抗衰老指导老师,1-3年,大专,5-9K,,,宁夏健一生,不需要融资,500-999人,大连·金州区·先进,"培训机构,线上教育,内训,职业与技能培训"
Senior AI Application Architect,1-3年,大专,23-29K·14薪,,,Infosys,已上市,10000人以上,大连·甘井子区·高新园区,"LLM,NLP,AIGC"
网络编辑,1-3年,大专,2-7K,,,联合签证,不需要融资,0-20人,大连,"图片编辑,策划编辑,新媒体,网站,网文"
平面制作,1-3年,大专,6-8K,,,达伦特,未融资,500-999人,大连·西岗区·站北,"印刷品设计经验,全职,平面排版,后道工艺"
UE4视觉程序,1-3年,大专,15-20K,,,乾豪动漫,未融资,20-99人,大连·金州区·开发区,"UE4,C/C++,美术/动画基础,UE4开发经验"
销售专员,1-3年,大专,10-15K,,,信也科技,已上市,1000-9999人,大连·沙河口区·西安路,"个人（To C）,面销/陌拜,不接受居家办公,互联网金融,面销/陌拜经验,金融产品,互联网/科技,招商/商户拓展"
短期美工,1-3年,大专,100-150元/天,,,健鑫铭电商,电子商务,20-99人,大连·甘井子区·七贤岭,"亚马逊,京东,AI,PS,不接受居家办公"
储备技术员,1-3年,大专,3-6K·13薪,,,天恩璐,未融资,20-99人,大连·金州区·湾里,"自动化,人工智能,变频器"
数据开发（python）,1-3年,大专,13-18K,,,大连智捷企业管理...,未融资,100-499人,大连·甘井子区·七贤岭,"Python,Shell,Spark,大数据开发经验"
电气工程师,1-3年,大专,4-8K,,,大连亚通,未融资,0-20人,大连·甘井子区·高新园区,"PLC工程师,电气,电控工程师,人工智能"
ai图像识别算法工程师,1-3年,大专,40-70K,,,达师兄工作室,A轮,100-499人,大连·中山区·二七,"TensorFlow/PyTorch,OpenCV,CNN/RNN,图像识别经验,OCR识别经验"
