java 实习生,6个月,本科,160-200元/天,,,蜂睿信息,未融资,100-499人,北京·朝阳区·三里屯,Java
Java （顺义 华夏基金项目）,5-10年,本科,14-17K,,,睿服科技,不需要融资,1000-9999人,北京·顺义区·天竺,"Java,Spring,Redis,不接受居家办公,物联网经验"
后端  JAVA 开发,5-10年,本科,15-22K,,,信永中和,不需要融资,1000-9999人,北京,"Java,企业级应用开发,微服务经验,MySQL,SpringMVC,架构设计经验,SpringBoot,Spring,Oracle,ERP开发经验"
Java,5-10年,本科,15-25K·14薪,,,天融信,已上市,1000-9999人,北京·海淀区·上地,"JVM,Java,Tomcat,MongoDB,Spring"
Java 开发工程师-智能化方向,5-10年,本科,25-50K·15薪,,,美团,已上市,10000人以上,北京·朝阳区·望京,Java
Java 研发工程师,5-10年,本科,10-15K·13薪,,,航天科工智能运筹...,不需要融资,500-999人,北京·东城区·和平里,"Java开发经验,全栈工程师,Java,不接受居家办公,后端工程师,计算机/软件工程相关经验"
Java,5-10年,本科,14-15K,,,卓越际联科技有限公司,人力资源服务,1000-9999人,北京·朝阳区·望京,"Java,分布式系统开发经验,多线程,spring cloud"
JAVA 工程师 北京,5-10年,本科,11-16K,,,云融天下,A轮,100-499人,北京·朝阳区·高碑店,"Java,不接受居家办公,Spring,MySQL,SQL Server,微服务,保险"
java 开发工程师,5-10年,本科,14-20K,,,金证股份,已上市,1000-9999人,北京·海淀区·上地,"Java,Spring,MySQL,SQL Server,Oracle"
java,5-10年,本科,16-20K,,,神州通誉,未融资,1000-9999人,北京·昌平区·天通苑,"Java开发经验,Java,不接受居家办公,JavaScript,后端工程师,Spring"
Java,5-10年,本科,11-22K,,,观众网,A轮,20-99人,北京·朝阳区·大望路,"微服务架构,网络编程,高级软件工程师,NoSQL,后端开发"
java  银行双休,5-10年,本科,13-17K,,,赢时胜,已上市,1000-9999人,北京·海淀区·马连洼,"Java开发经验,Java,不接受居家办公,分布式系统开发经验,后端工程师,计算机/软件工程相关经验"
java 后端,5-10年,本科,35-65K·14薪,,,某计算机服务公司,天使轮,20-99人,北京,"Java,Spring,Redis"
Java,5-10年,本科,17-19K,,,泽佳科技,不需要融资,100-499人,北京·朝阳区·朝阳门,"Java,计算机/软件工程相关经验,Java开发经验"
Java 高级研发工程师,5-10年,本科,25-40K·15薪,,,阿拉丁控股,不需要融资,100-499人,北京·朝阳区·大望路,"Java,Spring,MySQL,不接受居家办公,后端开发"
Java 开发工程师,5-10年,本科,35-50K,,,topsun,计算机软件,100-499人,北京·昌平区·马池口,"Java,Spring,MySQL,海外出差"
Java,5-10年,本科,35-55K·15薪,,,美团,已上市,10000人以上,北京·朝阳区·望京,"分布式技术,多线程,Spring,Redis,NoSQL,负载均衡技术,MySQL,后端开发"
中级 JAVA 工程师,5-10年,本科,20-35K,,,某知名互联网公司,D轮及以上,1000-9999人,北京,"Java,Spring,MySQL"
Java 开发工程师（急招）,5-10年,本科,20-40K·14薪,,,白龙马云行科技,不需要融资,100-499人,北京·朝阳区·望京,"Java,Dubbo,JVM,Kafka,Redis,不接受居家办公,微服务经验,分布式经验"
Java 开发工程师,5-10年,本科,11-18K,,,仲远上德,不需要融资,0-20人,北京·朝阳区·大望路,"Java,Spring,SpringCloud,MyBatis,MySQL,Redis,Oracle"
Java 后台开发,5-10年,本科,18-23K,,,阳光汇点,未融资,100-499人,北京,"Java,Spring,SpringCloud,MySQL,不接受居家办公,微服务经验"
Java 后端工程师,5-10年,本科,30-40K,,,奥金拓,C轮,100-499人,北京·海淀区·五道口,"后端工程师,Java"
Java Web 开发,5-10年,本科,12-16K,,,完美氪,不需要融资,0-20人,北京·海淀区·苏州街,"搜索引擎技术,Spring,Redis,NoSQL,MySQL,架构师"
Java 开发（线上面试）,5-10年,本科,18-35K,,,华为,不需要融资,10000人以上,北京·海淀区·西北旺,"微服务架构,负载均衡技术,数据结构,后端开发,Linux,Spring,Redis"
Java Leader（商品）,5-10年,本科,100-200K·15薪,,,某大型知名O2O公司,D轮及以上,10000人以上,北京,"MVC开发,分布式技术,多线程,架构师,Spring,Redis"
朝阳 证券 java （初中级 统本 ）,5-10年,本科,11-14K,,,瑞友科技,不需要融资,1000-9999人,北京·朝阳区·朝阳门,"Java,SpringCloud,MyBatis,Nginx,MySQL,不接受居家办公,金融,证券"
JAVA 银行项目 北京全区(J10900),3-5年,本科,13-18K,,,宇信科技,已上市,1000-9999人,北京·朝阳区·朝青,"后端工程师,Java,Spring,计算机/软件工程相关经验,Java开发经验,分布式系统开发经验,微服务,银行,swing"
Java 服务端开发工程师,3-5年,本科,20-40K·15薪,,,好未来,已上市,10000人以上,北京·海淀区·清河,"Java,Spring,Kafka,MySQL,Redis,分布式经验,微服务经验,架构设计经验,不接受居家办公"
Java 高级研发,3-5年,本科,15-25K,,,清研智库,不需要融资,100-499人,北京·海淀区·学院路,"不接受居家办公,分布式系统开发经验,后端工程师,Spring"
java web开发,3-5年,本科,10-15K,,,融和星电,计算机软件,20-99人,北京·丰台区·科技园区,"SQL,HTML,SpringBoot,MySQL,全栈开发,Linux"
JAVA 高级开发工程师,3-5年,本科,10-15K,,,米花时代,未融资,20-99人,北京·朝阳区·三元桥,"Java,搜索,后端开发"
Java 服务端开发工程师(R10156),3-5年,本科,15-20K,,,悦途,B轮,1000-9999人,北京·朝阳区·望京,"Java,不接受居家办公,SpringCloud,MySQL,Spring"
高级 Java 开发工程师（广告投放）(J11379),3-5年,本科,35-45K·14薪,,,Keep,D轮及以上,1000-9999人,北京·朝阳区·望京,"Java,Spring,SpringCloud,Kafka,MySQL"
java 网约车,3-5年,本科,35-60K·14薪,,,某大型互联网公司,不需要融资,100-499人,北京,"Java,Spring,MyBatis,MySQL,分布式经验,不接受居家办公"
java 中高级开发工程师-支付对接经验优先,3-5年,本科,18-22K,,,上海灏鑫,未融资,100-499人,北京·海淀区·苏州桥,"Java,MyBatis,Tomcat,Spring,MySQL,Redis,Oracle,支付,信贷,分期还款"
JAVA 高级开发工程师,3-5年,本科,25-35K,,,中嘉新辰,互联网金融,1000-9999人,北京·朝阳区·高碑店,"Java,Spring,SpringCloud,JVM,MySQL,Oracle,Redis,ERP开发经验,微服务经验"
Java 游戏后端工程师,3-5年,本科,18-25K,,,灼卓文化创意,不需要融资,20-99人,北京·朝阳区·798,"Java,Spring"
JAVA 高级软件工程师,3-5年,本科,13-23K,,,瑞华天健,已上市,20-99人,北京·海淀区·中关村,"Java开发经验,Java,全栈工程师,不接受居家办公,Linux,中大型项目架构设计经验,MyBatis,Spring,后端工程师,后端开发,计算机/软件工程相关经验"
