数据分析师,3-5年,本科,5-9K,,,览众数据,B轮,100-499人,北京·朝阳区·朝外,"Python,R,Tableau,数学/统计相关专业,计算机相关专业,数据分析/挖掘经验"
数据分析师 双休五险一金,3-5年,本科,8-10K,,,尚德机构(在线教育),已上市,1000-9999人,北京·朝阳区·善各庄,数据分析/挖掘经验
数据分析师,3-5年,本科,8-10K·13薪,,,世信国际会展集团,广告/公关/会展,20-99人,北京·海淀区·学院路,"Power BI,Python,数学/统计相关专业,销售数据分析"
助理数据分析师,3-5年,本科,5-6K,,,凯恩思咨询,不需要融资,20-99人,北京·朝阳区·常营,SPS
数据分析师,3-5年,本科,20-40K,,,点众科技,不需要融资,500-999人,北京·海淀区·牡丹园,"SQL,Tableau"
数据分析师,3-5年,本科,20-35K,,,某大型知名其他行业公司,不需要融资,10000人以上,北京,"人力资源行业,策略数据"
数据分析师,3-5年,本科,5-10K,,,七百二十,不需要融资,20-99人,北京·朝阳区·十里河,"数据分析,数据挖掘,数据采集,数据建模,Python,Java,网络爬虫技术,大数据"
数据分析师,3-5年,本科,18-35K·13薪,,,作业帮,D轮及以上,10000人以上,北京·海淀区·上地,"Tableau,SQL,Hive,数学/统计相关专业,数据分析/挖掘经验,在线教育行业"
数据分析师,3-5年,本科,20-40K·14薪,,,高途,已上市,10000人以上,北京·海淀区·上地,"业务数据分析,数据分析/商业分析经验"
数据分析师,3-5年,本科,15-25K·13薪,,,寰越电子商务,不需要融资,100-499人,北京·大兴区·亦庄,Power BI
数据分析师,3-5年,本科,11-16K·14薪,,,智度科技股份有限...,已上市,500-999人,北京·西城区·西单,"Python,数学/统计相关专业"
社区数据分析师,3-5年,本科,30-60K·15薪,,,某500强上市公司,D轮及以上,1000-9999人,北京,SQL
数据分析师,3-5年,本科,5-8K,,,天下经合,电子商务,0-20人,北京·海淀区·万寿路,"数据分析/挖掘经验,计算机相关专业,SQL,Python"
数据分析师,3-5年,本科,20-25K,,,某知名广告营销上市公司,已上市,1000-9999人,北京,数据分析/挖掘经验
数据分析师,3-5年,本科,20-40K,,,某大型大数据上市公司,已上市,500-999人,北京,"数据分析/挖掘经验,数学/统计相关专业,计算机相关专业"
资深数据分析师,3-5年,本科,12-20K,,,思源瀚海,未融资,100-499人,北京·大兴区·亦庄,"Tableau,MATLAB,SPSS,电商/零售行业数据相关经验,数据分析/挖掘经验"
Python数据分析师,3-5年,本科,18-30K,,,京泰控股集团,不需要融资,500-999人,北京·通州区·次渠,Python
