（校招）需求分析师/产品助理,经验不限,学历不限,10-13K,,,智达科技,未融资,500-999人,大连·甘井子区·高新园区,B端产品
数据专员,经验不限,学历不限,3-4K,,,大连宝奕供应链管理,不需要融资,20-99人,大连·金州区·安盛,五险一金
数据分析专员,经验不限,学历不限,6-9K·15薪,,,双迪研究院,未融资,100-499人,大连·西岗区·民权,"SQL,Python,Power BI,数据分析/挖掘经验,电商/零售行业数据相关经验"
数据录入兼职,经验不限,学历不限,3-4K,,,大连国际人,未融资,20-99人,大连·甘井子区·海事大学,"兼职,全职兼职均可"
实验室分析员,经验不限,学历不限,5-7K,,,大连众智创新,化工,100-499人,大连·瓦房店市·长兴岛经开区,"精细与专用化学品,化学相关专业"
数据分析师,经验不限,学历不限,10-15K,,,商本大数据,未融资,0-20人,大连·中山区·华乐,"SQL,Power BI,Hive,数学/统计相关专业,计算机相关专业,数据分析/挖掘经验"
资源管理/数据分析/数据运营,经验不限,学历不限,4-6K·13薪,,,安永商务咨询,不需要融资,1000-9999人,大连·甘井子区·七贤岭,"数据分析,excel,报表"
药物分析,经验不限,学历不限,20-21K,,,某知名生物公司,未融资,1000-9999人,大连,实验室药物分析
数据分析工程师,经验不限,学历不限,20-40K,,,某知名非盈利机构公司,非盈利机构,1000-9999人,大连,电池数据分析
BA需求分析师,经验不限,学历不限,20-30K·13薪,,,智领益昇信息技术,未融资,20-99人,大连·沙河口区·星海湾,"计算机/软件工程相关专业,英语听说读写能力良好"
数据分析专员,经验不限,学历不限,5-10K·15薪,,,大连洛斯信息技术,电子商务,20-99人,大连·沙河口区·软件园,"Power BI,R,Python"
数据分析,经验不限,学历不限,14-28K,,,某大型知名食品上市公司,已上市,10000人以上,大连,"Python,数据分析"
数据处理,经验不限,学历不限,3-5K,,,添程信息科技,未融资,0-20人,大连·沙河口区·星海湾,全职办公
数据统计助理,经验不限,学历不限,4-5K,,,莱茵优品,未融资,100-499人,大连·甘井子区·华南,数据统计
数据开发,经验不限,学历不限,2-3K,,,盛果时代,广播/影视,0-20人,大连·金州区·开发区,Scala
数据分析师,经验不限,学历不限,7-12K·13薪,,,赢海科技,未融资,100-499人,大连·甘井子区·万达,"Python,R,SQL"
财务数据统计员,经验不限,学历不限,3-4K,,,嗑客食品,未融资,100-499人,大连·甘井子区·松江路,对账
数据标注员,经验不限,学历不限,3-4K,,,澳鹏科技,不需要融资,1000-9999人,大连·甘井子区·七贤岭,"全职工作,数据标注,不接受居家办公,视频标注,图片标注,语音标注"
数据分析助理,经验不限,学历不限,4-8K,,,飞驰亿诺科技,企业服务,20-99人,大连·甘井子区·高新园区,"计算机相关专业,数学/统计相关专业,数据分析/挖掘经验,SQL,Excel,Python"
数据处理员,经验不限,学历不限,3-4K,,,倍通数据集团,咨询,1000-9999人,大连·沙河口区·星海湾,"数据处理,不接受兼职"
ai数据标注师,经验不限,学历不限,4-9K,,,大连星禾云际科技,互联网,20-99人,大连·中山区·人民路,"全职工作,标注结果整理,数据标注,图片标注,文本标注,语音标注,区域标注,分类标注,标框标注,数据分析能力强,不接受居家办公"
肉类数据分析专员,经验不限,学历不限,5-10K,,,磐海贸易,进出口贸易,20-99人,大连·中山区·华乐,Excel
etl数据开发工程师（2024校招）,经验不限,学历不限,5-6K,,,东华软件股份公司,计算机软件,100-499人,大连·中山区·三八广场,MySQL/Oracle/DB2
统计分析,经验不限,学历不限,4-6K,,,洪海金成,不需要融资,20-99人,大连·沙河口区·星海广场,"Excel,消费金融,数据统计"
数据标记员,经验不限,学历不限,4-7K,,,大连东合茂科技发展,不需要融资,0-20人,大连·中山区·人民路,"数据标注,不接受居家办公,语音标注,标注结果整理,数据分析能力强,标注结果抽查,接受加班,图片标注,文本标注,全职工作,描点标注,标框标注,分类标注"
数据分析师,经验不限,学历不限,6-8K,,,万嘉惠,不需要融资,1000-9999人,大连·甘井子区·华南,"计算机相关专业,电商/零售行业数据相关经验,数据分析/挖掘经验"
数据分析师,经验不限,学历不限,3-5K,,,大连品誉集团,不需要融资,500-999人,大连·中山区·人民路,"Excel,参数检验,决策树"
数据专员,经验不限,学历不限,4-6K,,,恒民生鲜,电子商务,100-499人,大连·金州区·中长,免费提供食宿
数据分析员,经验不限,学历不限,10-15K·13薪,,,彤阳建筑,建筑设计,20-99人,大连·沙河口区·星海湾,"SQL,Python,Power BI,数据分析/挖掘经验"
行业分析师,经验不限,学历不限,4-8K,,,精灵网络,天使轮,20-99人,大连·中山区·港湾广场,数学/统计相关专业
实验室分析员,经验不限,学历不限,4-5K,,,众诚测试,不需要融资,0-20人,大连·金州区·湾里,环境化学分析
实验分析员,经验不限,学历不限,5-7K,,,众智长兴,化工,100-499人,大连·瓦房店市·长兴岛经开区,"石油化工,精细与专用化学品"
数据标注（学历不限 轻松不累）,经验不限,学历不限,120-130元/天,,,恒盛信息技术,不需要融资,0-20人,大连·甘井子区·高新园区,"全职工作,图片标注"
数据分析,经验不限,学历不限,4-5K,,,潭州教育,未融资,20-99人,大连,数据分析
数据信息文秘/标记/助理/录入/文员,经验不限,学历不限,3-5K,,,击壤科技,A轮,20-99人,大连·金州区·开发区,"助理,文秘,数据,标记,打字,信息录入,数据标记,数据操作"
证券分析师,经验不限,学历不限,10-11K,,,东海证券股份有限...,证券/期货,0-20人,大连·沙河口区·西安路,"证券从业资格证,含销售性质"
大数据分析,经验不限,学历不限,25-40K,,,海伏,不需要融资,0-20人,大连·甘井子区·高新园区,"数据分析,数据挖掘,数据仓库,ETL,SQL,Java,Scala,Go"
数据分析专员,经验不限,学历不限,4-6K·13薪,,,格罗贝斯,大数据,20-99人,大连·甘井子区·高新园区,"数据分析,R语言,SPSS,R,BI,数据挖掘,数据治理,Python"
英语reporting 数据分析,经验不限,学历不限,7-8K,,,大连睿博信息技术,计算机服务,20-99人,大连·甘井子区·软件园,"SQL,英语流利"
产品经理（大数据方向）或大数据产品经理,经验不限,学历不限,6-8K,,,投中辽宁,未融资,20-99人,大连·沙河口区·星海湾,"数据分析,TO G,市场调研,产品设计,需求分析,平台产品,大数据产品,小程序产品"
财务分析/财务BP,经验不限,学历不限,5-6K,,,大连吉尔曼,医疗服务,20-99人,大连·金州区·开发区,"金蝶,用友,应收应付,税务,财务分析"
数据标注专员,经验不限,学历不限,3-4K,,,大连栖恩文化传媒,未融资,0-20人,大连·金州区·开发区,"全职工作,兼职工作,数据标注,图片标注,文本标注,语音标注,区域标注,描点标注,标框标注"
初级需求分析师,经验不限,学历不限,8-11K,,,荣鹄,企业服务,20-99人,大连·沙河口区·星海湾,Axure
日文录入，数据处理,经验不限,学历不限,3-4K,,,上海PG,未融资,0-20人,大连·沙河口区·西安路,日文处理
高级数据工程师,经验不限,学历不限,15-30K,,,大连数盟,未融资,0-20人,大连·甘井子区·高新园区,"Python,大数据开发经验,计算机相关专业"
数据处理专员,经验不限,学历不限,6-7K,,,壹立方,未融资,0-20人,大连·西岗区·北京街,"Java,Python,计算机相关专业,数学/统计相关专业,大数据开发经验"
数据分析师（技术岗）,经验不限,学历不限,10-15K·14薪,,,中环洁,未融资,10000人以上,大连·中山区·中南路,"数据分析,数据挖掘"
大数据分析师,经验不限,学历不限,15-30K,,,梵可软装,建筑设计,0-20人,大连·甘井子区·高新园区,"数学/统计相关专业,数据分析/挖掘经验,电商/零售行业数据相关经验"
