job_name,experience,education,salary,other,detail_url,company_name,type,numbers,location,words
前后端开发、测试、算法、大数据开发、数据分析岗位,经验不限,本科,1.7万-3万,14薪,http://jobs.zhaopin.com/CC138117190J40413635505.htm?refcode=4019&srccode=&preactionid=,外企德科,合资,1000-9999人,杭州-滨江,"C,Python,Java,Linux开发,WebGL"
软件测试工程师,3-5年,本科,1万-1.5万,暂无信息,http://jobs.zhaopin.com/CC120408370J40519568308.htm?refcode=4019&srccode=&preactionid=,天阳科技,上市公司,1000-9999人,杭州-西湖,"功能测试,性能测试,自动化测试,Python"
python开发工程师,1-3年,本科,1.2万-1.7万,暂无信息,http://jobs.zhaopin.com/CC000544460J40422515016.htm?refcode=4019&srccode=&preactionid=,软通动力信息技术(集团)股份有限公司,民营,10000人以上,杭州-滨江,"Golang,Python,Linux,Flask,NumPy,MySQL,Redis,GIT"
python开发工程师,3-5年,本科,1.5万-2.5万,暂无信息,http://jobs.zhaopin.com/CCL1365199150J40351239515.htm?refcode=4019&srccode=&preactionid=,国信蓝桥教育科技股份有限公司,民营,300-499人,杭州-余杭,"Python,Go"
智慧能源工程师（智能算法开发/测试/运维/UI）,经验不限,硕士,1万-2万,暂无信息,http://jobs.zhaopin.com/CC447140110J40447561504.htm?refcode=4019&srccode=&preactionid=,杭州汽轮新能源有限公司,国企,100-299人,杭州-拱墅,"Java,Python"
初级java开发工程师,经验不限,本科,1.2万-2.4万,暂无信息,http://jobs.zhaopin.com/CC138117190J40321730905.htm?refcode=4019&srccode=&preactionid=,外企德科,合资,1000-9999人,杭州-滨江,"后端开发,Java,Python,HTML5,全栈开发,WEB开发,SpringBoot,JavaScript"
资深python开发工程师,3-5年,本科,1.5万-3万,暂无信息,http://jobs.zhaopin.com/CCL1227202590J40498555702.htm?refcode=4019&srccode=&preactionid=,云途(杭州)智能科技有限公司,民营,20-99人,杭州-西湖,"MySQL,Redis,Flask,Django,Python,CloudStack"
python开发工程师,5-10年,本科,1.3万-1.5万,暂无信息,http://jobs.zhaopin.com/CC364485720J40511081405.htm?refcode=4019&srccode=&preactionid=,武汉佰钧成技术有限责任公司,民营,1000-9999人,杭州-西湖,MySQL
游戏测试-DZ -大厂,1-3年,本科,7千-1.2万,13薪,http://jobs.zhaopin.com/CC566069530J40477535305.htm?refcode=4019&srccode=&preactionid=,武汉讯锡云科技有限公司,民营,300-499人,杭州-滨江,"Python,游戏测试经验"
研究院-测试工程师,1-3年,本科,1.1万-2万,15薪,http://jobs.zhaopin.com/CC120975580J40584665815.htm?refcode=4019&srccode=&preactionid=,杭州海康威视数字技术股份有限公司,上市公司,10000人以上,杭州-滨江,"C++,Python,功能测试"
互联网python开发工程师（包三餐）,1-3年,本科,1万-1.5万,暂无信息,http://jobs.zhaopin.com/CC000544460J40493912616.htm?refcode=4019&srccode=&preactionid=,软通动力信息技术(集团)股份有限公司,民营,10000人以上,杭州-余杭,"HTTP,RPC,HTML"
python开发工程师,1-3年,本科,1.5万-3万,16薪,http://jobs.zhaopin.com/CC138117190J40415940605.htm?refcode=4019&srccode=&preactionid=,外企德科,合资,1000-9999人,杭州-滨江,"Java,Linux,网络爬虫技术,微服务架构"
生信分析工程师,1-3年,本科,1.2万-1.7万,14薪,http://jobs.zhaopin.com/CC323630080J40314887714.htm?refcode=4019&srccode=&preactionid=,杭州金诺医学检验实验室有限公司,民营,20-99人,杭州,"Python,遗传,基因芯片"
软件测试工程师（外包互联网大厂+有英语基础优先）,3-5年,大专,1.1万-1.2万,暂无信息,http://jobs.zhaopin.com/CC525176730J40522469908.htm?refcode=4019&srccode=&preactionid=,郑州易宝软件科技有限公司,合资,100-299人,杭州-余杭,"功能测试,自动化测试,Java,Python"
python自动化测试,1-3年,本科,1万-2万,暂无信息,http://jobs.zhaopin.com/CC000544460J40243232616.htm?refcode=4019&srccode=&preactionid=,软通动力信息技术(集团)股份有限公司,民营,10000人以上,杭州-滨江,"Python,自动化测试,Java"
软件开发工程师/测试,经验不限,本科,1.6万-3万,暂无信息,http://jobs.zhaopin.com/CC138117190J40439727805.htm?refcode=4019&srccode=&preactionid=,外企德科,合资,1000-9999人,杭州-滨江,"Java,Python,C++,C"
远程-Golang开发工程师,1-3年,本科,1.9万-3.5万,暂无信息,http://jobs.zhaopin.com/CC867513380J40510063009.htm?refcode=4019&srccode=&preactionid=,深圳支流科技有限公司,合资,20-99人,杭州-上城,"Python,C语言,Shell"
python测试工程师,1-3年,本科,9千-1.3万,暂无信息,http://jobs.zhaopin.com/CC000544460J40497997416.htm?refcode=4019&srccode=&preactionid=,软通动力信息技术(集团)股份有限公司,民营,10000人以上,杭州-滨江,"Python,接口自动化测试"
银行测试工程师,3-5年,本科,1.3万-1.8万,暂无信息,http://jobs.zhaopin.com/CC273670410J40487464606.htm?refcode=4019&srccode=&preactionid=,北京捷科智诚科技有限公司,民营,1000-9999人,杭州-上城,"Jmeter,Selenium,JIRA,Java,Python,HTML"
测试开发74（1年+经验，接受23届，学信网本科，专科/专升本/民办本科不合适）,经验不限,本科,8千-1万,13薪,http://jobs.zhaopin.com/CC566069530J40512512505.htm?refcode=4019&srccode=&preactionid=,武汉讯锡云科技有限公司,民营,300-499人,杭州-滨江,"Python,测试开发,工具开发"
